FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
TRUE,2023-04-25,,CRATE SOP,"PROBLEM: 
- Create was made too heavy and added more expenses. 600kg, additional costs per 200kgs and if too heavy for human. 
- Responsible Parties who will Sort and Box it, Which Items to Crate, Which to Box, how to Track the Pieces, ",,"Draft the SOP.  For discussion with ops to get their inputs.  Joy P to schedule the meeting
1) May 5 Friday morning meeting. 
2) JOy's action was to fill Change Proposal: 
3) Ongoing Proceedure 
Scheduled For Friday
Follow up on the Proceedures. ",2023-07-06,2023-05-31,,,,
TRUE,2023-04-22,,LFK TURRET down 230422,"Low Voltage of the Monitor. The monitor is blacking out, no display. ",,For testing and observation,2023-06-06,,,,,
TRUE,2023-05-23,,BX Model -EUROMAC,"Euromac Model burns after being overworked.  (if we get the laser cutter, we can dispose of this). ",,"contacting Edman for Inspection
Update Laser turret Analysis
Request quotation of new motor for comparison (including replacement of magnetic contactors)

Possible to dispose the machine once laser is acquired.",2023-08-16,,,,,
TRUE,2023-04-11,,Update on Safety Items for the MOnth,List of items for Update for Safety,EHS,"For Installing of Signage. Ongoing as of 230809
ONgoing 230822 - ready by Visitor. ",2023-08-23,,,"There is training, so the week after next. 230419
https://huggingface.co/spaces/fffiloni/langchain-chat-with-pdf-openai 
REGULATION COMPLIANCE 230517",,
TRUE,,,ITEM GROUPS and ITEMS,Departments to Identify which Items are under their area of responsibility,,"We are mostly ready as Accounting System appears Fully Compliant. 
WH teams are ok with the Proceedures - 
- Bin Card Accuracy of Tech Center. Analyze the problem.
Product - Material Request: Transfer 
PRODUCTION dept - Inventory - what are our controls and proceedure. > what action will happen if we discover a large backlog. 
- Inventory proceedures of Different Conditions. 
- Pull out items, 
- Delayed Shipment, Client Storage/Safekeeping. 
- Friday Training on the manufacturing. ",2023-07-12,,,"Data of all the ITEMS and Who Created them. We will organize the Items by Creator. 
LAter we demonstrate how to exctract data and create a Report which Items go to which Departments. 
ITem Groups PLANT > RM; TC > Construction",,
TRUE,,,MTX-Euromac Turret,"Alignment of Auto Index, of lower systems.  System reports no error but output is misaligned. ",,For observation.,2023-05-06,,,"example: rectangle punch, every time it punches the edges of the rectangle holes. It cannot make 90 degree corners in the squares.  Y axis is not aligned, the error is in the lower base of turret machine. 
Assign a person to Create the Item Groups - Lets nominate. ",,
TRUE,,,Bureau of Fire Training.,We will get the 60k BOF training because we need the receipt for Compliance,,"PO of 60k is approved, Waiting for payment processing. ",2023-04-26,,,"NCO for CSC for legal compliance costs. 
Will go through the List we already have and add Search and Rescue.",,
TRUE,2023-03-21,,3-Axis Rover A,One of the Circuit breakers within the machine stopped working. ,,For observation,2023-05-12,,,"they are not interchangable so we have to buy for each part. 
flexible house has been move. for Schedule to visiting Manila for option. 
When no Clear Timeline. 24 hours. All suppliers are canvased. Get all the contact number of all the suppliers and FB or shopee. Per excursion we get vendors. (Use shopee to narrow down vendors). ",,
TRUE,2023-03-21,,"Welding Machine, 2 units Boss Job",They were pulled out and sent to edman for repair. ,,"For Follow up with Edman. 
For Checking the condition of Edmans Repairs.",2023-03-22,,,,,
TRUE,,,Managing MR:PR,"Departments have to do some housekeeping in their Forms. We dont want unncessary MR:PRs, like those that are pending for months. If they are not going to be PRed then they should not be there. If Any one can audit the forms they will find at the most 1 week since created. Anything more than the turn around time accoridng to our QMS is escalated. Items greater than 1 week since created have an explanation why its still there. ",,to discuss with Operations,2023-04-18,,,,,
TRUE,2023-03-14,,EXECUTIVE HOUSE,REFURBISHING the EXecutive House,ARLENE,"Delayed - Plans, waiting on. 
Waiting on Plans and Timeline 231206 - ask them for their timeline. 
John NIcolo will be part of the project. 
Status of the Structure - Roof is Sealed, and Walls an Door is enclosable. 
Waiting for Glass - 
Glass is ordered, 240110 - myleen will update. follow up final delivery. 
follow up Jenalyn for the Specs. Get her timeline. Cabinet and Closet.
Follow up - if the Exec House  Tasks. 240124
Follow up Arlene when PM can be assigned 240214
Ronald is ongoing with the Project
240406 For update of Minutes 
MOM Executive House_2024Mar14.pdf Mostly for approval - cannot know if its been given for approval 240320
Approval of Exhaust and ACU 240403
Auxiliary and Finishing ongoing 240417
For Update.  240508
No update - tiles are being sourced 240515
For installation of TILES 240522 - depends on PM
240529 Follow up PM on the status 
240620 John is assigned to this task - review - Tasks to be done. 
240703 - List of Ongoing, take pictures of the structure and list down the remaining things as compared to the refence mock. 
240710 - Pictures for Schedule, Provision Electrical Wiring - Implementation: In-charge, get Material-List, ARF for PID. 
240724  - Generate a list of Observations on the structure what is missing. We will elaborate - Kevin and Gerald and Ernest will check what else is missing. Once we have a list of what is missing and confirmation - we can plan the actions to take. 
240731 - Arlene had a meeting for pictures and status. Tiles - missing tiles.  missing tiles PR or use Available Alternatives. 
240807 - Glass partitions have been delivered, they were missing. Windows priority for proteciton against the elements. Glass from Sucat. PID, Gerry Tadena - sucat warehouse - withdrawal of the glass. 
240821 - glass has arived. following up Installer. and Doors are missing for enclosed. 
240828 - windows and installer - copy of permit to work for safety. Dismantling 240831 - cc karen - ensure they coordinate. 
240904 - install of frames and reused glass. Ordered new glass. 
240912 - Window Frames and Panes ONgoing
241008 - Partial Tiling Ongoing. Remaining is Electrical and Lighting. Final Tiling. Finishing
241016 - for schedule Glass Walls. Frames are installed and some tiling near the perimeter. 
241023 - glass frames tiles are ongoing. for schedule other areas
241106 - follow up for additional tiles
241120 - Repairing Ceiling, Ordering TIles 
241127 - delivered the additional tiles. Remaining Finishes are: Glass, remaining glass new order. Approval PVC boards. 
241211 - finishin tiles
250108 - Kitchen Cabinet for approval, For discussion next action
250115 - Is it Enclosed? For Glass Installation, glass is all ordered. vitrum follow up - do we need the awning to cool it and expand its capacity during events. 
250205 - resched Vitrium 
250212 - Vitrium for installation. Pending - Ceiling Marine Plywood, Rear and Sliding door remaining. Material - no workers. 
250219 - Edwin in charge. Waiting for Material - 
250226 - Partial Materials - Tiles and BRicks for CR. Waiting for PAINTs. 
250305 - Materials arrived - for CR waiting - PVC ceiling 
250312 - waiting - Tiles CR and Power room
250326 - Get the history of all the materials for story telling how it was recycled . Visualize this as a Design Element in the Wall. Talk to Nicco and Joshua
250411 - bring it up with Executive House - PM - determine what medium is the Art about the Source of Materials
250423 - Meeting redesign - follow up outcome of REDESIGN - ernest and sir Mike - target 1pm - perspectives - feedback all stakeholders. 
250430 -waiting for Redesign Meeting decisions
250521 - waiting on redesign
250528 - on hold
250604 - on hold
250625 - Grand opening
250702 - punch list - CR and Rooms and furniture.  The 50-75"" TV and painting. 2
250709 - update timeline of punch list. 
250723 - update the timeline of the punchlist
250730 - door handles and lcoks for approval
250806 - door handles for approval - ask sir Gary for the Punchlist
250813 -gary is manageing Punch List is 228/230 Items are Open
250905 - Ceiling Works and Retouching Maindoor remaining
250919 - remaining punchlist (wiring at conference room)
251008 - for turn over - Outlet for installation in Conference,  water pump temp to be done, for wiring
251015 - for repainting c/o customized
251022 - for rectification of concrete post. -
251029 - Punchlist Items - Accessibility - Wheelchair OK, Exhuast Fan of Dirty Kitchen - for testing, seperate exhuast fan switch. 
251105 - punchlist items status -ask for clarification 
251112 - punchlist? 
251120 - ask from Sir Gary and Vitrum - and changing teh rollers.
251126 - rollers done - punch list? 
251205 - For Inspection - Status of Awning - Xmass Tree
251210 - Status of Awning - Xmass Tree ongoing. ",2025-12-17,,,,,
TRUE,,,EDGE BANDER BIESSE flawed outputs,"Cracked outputs, with excess edgeband subject for final trimming / filing ",MAINTENANCE/PROD,"Following Biesse Malaysia - for Schedule. For fine tuning
for Sir Rey to Approve the Quotation. 
For REPAIR of PMC for BYPASS",2023-11-15,,,"Quotations 300k is most important.
PMC is the only one. While this is at PMC, Can we have Quotes for the same parts in WoodFung? 
Regular Cleaning and Inspection of the Machine. As well as QA to check if Operator has been checking. 
Pre-Checklist. 
https://drive.google.com/file/d/1sGU6kfTIj_pTR57F_4KK_9DU8yTRWpeg/view?ts=645a0802  QAR# 23-023 Evaluation of Output After Repair of Biesse Edgebander #43.docx ",,
TRUE,2023-03-08,,"Cost Analysis
BATHROOM ","Asking for an Analysis of Costs: 
Cost of the Per Square meter of the Repaired Bathrooms (Customized and Mezzanine; Labor and Materials). - the kind of works done and the total Duration in days. 
Cost of the Quotes for the Additional bathrooms that will be refurbished - comparing the costs of the Canteen CRs, Admin Crs, Metal CR, and listing all other Crs that will be covered. 
Cost of the Per Squaremeter of the Roofing to be fixed. (How many sqm of roof damaged and will need repair).",PROJ STAFF/MAINTENANCE,"looking for Labor Contractor. masonry and plumbing. Materials and design will be ours. 
Metal First - For Nerio. For Quotation of the Bathrooms. 
give nerio a template for the Proposal - Lagbo. Looking for other Contractors. 
Get the BOM and LABOR ESTIMATES.  231122
Do we have drawings and plans for Bathrooms? Lets have an approved designs first. 231206 - request Design from PDTD bathroom. 
Follow up - We need a Timeline from PDTD. Ask for timeline 240110. Target 240117 for Makati Review.  Follow up Mackie 240124
Target Timeline (240131). Feb 7
Forperio For Schedule. Redrawing with John 240214
Janitorial being hired for the grounds, being hired contractual, 240221. Status of the Accessories. 
240228 BOM follow up For update 240306
240320 After ADMIN (Admin is after Rooft target 240403), target 240415
240417 Staff house and Metal - for Porferio for Estimate target May 1
240424 Chaged Contractor, proferio is not available. 
240508 for proposal from nerio and properio 
240515 waiting for proposal - they did other areas first. 
240522 Porferio Proposal - is the only one who gave a proposal
240529 Porferio Proposal - follow
240613 Nerio Proposal - follow up 
240620 Nerio Proposal - Follow up - need for Floor Plan. Waiting of CAD specialist for floor plan of estimates. Create a proposal for Go with Porferio 
240626 new Supplier interested
240703 waiting for quotes - revised 
240710 Nerio wil be given the bathroom. Creation of the Contract. 
240724 request for Payment - Check 
240807 Ongoing since Monday Aug 5. 30-35 days. 
240821 - ongoing nerio
240828 - ongoing nerio - tiling
240904 - ongoing tiling
240912 - Urinals Purchased, Fittings, 80% Done. Phenolic/Fiber board Dividers, Tanks
241008 - Hold - nerio could not finish.
241016 - Aguilar Estimate TBD
241023 - For schedule for Metal. Aguilar has been approved
241106 - Renovation ongoing
241120 - Metal, waiting for Doors from Site. 
241127 - done 100%. Some leaks. ",2024-11-27,,,"Goal is to have a Parametric/Model of the Costs per Sqm for the kinds of works. 
Edwin Lagbo⁩ +639295043366",https://docs.google.com/spreadsheets/d/1fAp_6OkA-cIBZBrVEtN1GVacA9YeJMJ44M8Fi7Pmha4/edit#gid=0,
TRUE,2023-02-28,,SHEARING Machine - Lodge and Shipley,Problem with Solenoid Valve ,,"Dismantling and Troubleshooing. Looking for Solinoid Valve. Getting dimensions for Quotation. 
Request RIC-AIRTEC for immediate delivery.
PO to follow.",2023-03-03,,,,,
TRUE,2023-03-01,,JUST LED LIGHTS PERIMETER,Solar Street Lights for our Facilities. n,MAINTENANCE,"For observation of the lighting hours.
Request other supplier. 
Next is Cost Benefit - if the Lights and Poles are cheaper with Solar. 
Dont limit to the Current Suppliers. 
12,000php per year payback period (assuming 11php x 12 hours x 365 days). Technology cost/ 12k*lights
Solar Streetlight Quotations 288,000php cost per year. 
Friday 300W light, see if it will last 12 hours. Negative assessment of the 300W. give the feedback to supplier, if they can address it.
Proceed for a Purchase of one.  
Waiting for PO and Delivery
Follow up Delivery 231213. Request for Timeline 
Delivery 240106. 
Schedule Installation 241011. They had to make a bracket. (estimate the cost of the bracket). 
For installation of scafolding. 240124, scafoolding set up
Count down from Jan 27 to Feb 28.
For order 4 more 240320. 
Requesting another Quotation 240403. 
Send 1 for Tech center 240417. 
For purchase of replacement. Will attempt 150W 240424
prototype of 250W, send to TC a spare solar lamp that is 150W. Will be shared PUP, to see the sizing for 250-300W.  
50-90W trials 240515, get the lumens of the old and the new for comparison. 
150W and 200W sample will be tested. 240522
240613 send 150W for analysis. 
240626 solar street lights
240703 send it to tech center aloread. 150W LED vs 250W halogen. Testing for 2 weeks. 
240724 for Sending to TC. Order of 5 units of 150W. 
240731 for Follow up Supplier for delivery. Cost benefit savings from 150W, from 250W. 
240807 CBA for Night lights. CBA for all remaining Hallogen Lights.  24 halogen in the Perimeter. Productioin is 60% is LED. Using some of the savings to add more Lights. 
240821 - 110k per year savings. Consider other necessary areas for lighting
240828 - lagoon area 3 lights. 1 light for roadway executive house. 1 at the water tank behind the plant. 
240905 - for installation, 5 remaining
240912 - for schedule sep 26
241008 - 40% Lights have been replaced
241016 - 5 Pieces have been replaced, 21 to go. 80% to go. 
241023 - for PR of remaining lights
241106 - PRed 5 units of street lights
241120 - waiting for lights
241127-  Waiting for Order to arrive. 
241211 - waiting - follow up Supplier
241218 - follow up
250108-Follow up Last Order 
250108 - Use Batteries nalang.
250115 - For Payment 
250122 - for Delivery - 
250205 - delayed -Suppliers WH burned 
250212 - materials arrived. Street light will arrive. 
250219 - Additional 5 will be ordered. Lights will
250305 - LED street lights ordered
250312 - New Order, and Other Order Recieved
250326 - Waiting for Last Order
250411 - for installation",2025-04-02,,,"savings are around 50,000php for the first year. 
288k in succeeding years. 
24 Solar Lamps are 220,000php. 
Battery life Cycle.",Number of Lights,
